Entry	Entry name	Protein names	yourlist:M20180509F725F458AC8690F874DD868E4ED79B88FE4F7BJ
Q9HD23	MRS2_HUMAN	Magnesium transporter MRS2 homolog, mitochondrial (MRS2-like protein)	NM_020662
Q08378	GOGA3_HUMAN	Golgin subfamily A member 3 (Golgi complex-associated protein of 170 kDa) (GCP170) (Golgin-160)	NM_005895
Q96Q15	SMG1_HUMAN	Serine/threonine-protein kinase SMG1 (SMG-1) (hSMG-1) (EC 2.7.11.1) (61E3.4) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein)	NM_015092
O94955	RHBT3_HUMAN	Rho-related BTB domain-containing protein 3 (EC 3.6.1.-)	NM_014899
Q9P0S3	ORML1_HUMAN	ORM1-like protein 1 (Adoplin-1)	NM_016467
O14569	C56D2_HUMAN	Cytochrome b561 domain-containing protein 2 (Putative tumor suppressor protein 101F6)	NM_007022
Q14166	TTL12_HUMAN	Tubulin--tyrosine ligase-like protein 12	NM_015140
Q15398	DLGP5_HUMAN	Disks large-associated protein 5 (DAP-5) (Discs large homolog 7) (Disks large-associated protein DLG7) (Hepatoma up-regulated protein) (HURP)	NM_014750
Q9BZZ5	API5_HUMAN	Apoptosis inhibitor 5 (API-5) (Antiapoptosis clone 11 protein) (AAC-11) (Cell migration-inducing gene 8 protein) (Fibroblast growth factor 2-interacting factor) (FIF) (Protein XAGL)	NM_006595
O75143	ATG13_HUMAN	Autophagy-related protein 13	NM_014741
Q9P0K7	RAI14_HUMAN	Ankycorbin (Ankyrin repeat and coiled-coil structure-containing protein) (Novel retinal pigment epithelial cell protein) (Retinoic acid-induced protein 14)	NM_015577
Q92797	SYMPK_HUMAN	Symplekin	NM_004819
P49915	GUAA_HUMAN	GMP synthase [glutamine-hydrolyzing] (EC 6.3.5.2) (GMP synthetase) (Glutamine amidotransferase)	NM_003875
P15291	B4GT1_HUMAN	Beta-1,4-galactosyltransferase 1 (Beta-1,4-GalTase 1) (Beta4Gal-T1) (b4Gal-T1) (EC 2.4.1.-) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 1) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 1) [Cleaved into: Processed beta-1,4-galactosyltransferase 1] [Includes: Lactose synthase A protein (EC 2.4.1.22); N-acetyllactosamine synthase (EC 2.4.1.90) (Nal synthase); Beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase (EC 2.4.1.38); Beta-N-acetylglucosaminyl-glycolipid beta-1,4-galactosyltransferase (EC 2.4.1.-)]	NM_001497
O94777	DPM2_HUMAN	Dolichol phosphate-mannose biosynthesis regulatory protein (Dolichol-phosphate mannose synthase subunit 2) (DPM synthase subunit 2)	NM_003863
Q96BS2	CHP3_HUMAN	Calcineurin B homologous protein 3 (Tescalcin) (TSC)	NM_017899
Q13509	TBB3_HUMAN	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	NM_006086
P19532	TFE3_HUMAN	Transcription factor E3 (Class E basic helix-loop-helix protein 33) (bHLHe33)	NM_006521
Q9NXN4	GDAP2_HUMAN	Ganglioside-induced differentiation-associated protein 2	NM_017686
Q9UI42	CBPA4_HUMAN	Carboxypeptidase A4 (EC 3.4.17.-) (Carboxypeptidase A3)	NM_016352
Q92914	FGF11_HUMAN	Fibroblast growth factor 11 (FGF-11) (Fibroblast growth factor homologous factor 3) (FHF-3)	NM_004112
Q8NE86	MCU_HUMAN	Calcium uniporter protein, mitochondrial (HsMCU) (Coiled-coil domain-containing protein 109A)	NM_138357
Q9NRR5	UBQL4_HUMAN	Ubiquilin-4 (Ataxin-1 interacting ubiquitin-like protein) (A1Up) (Ataxin-1 ubiquitin-like-interacting protein A1U) (Connexin43-interacting protein of 75 kDa) (CIP75)	NM_020131
Q9HBD1	RC3H2_HUMAN	Roquin-2 (EC 2.3.2.27) (Membrane-associated nucleic acid-binding protein) (RING finger and CCCH-type zinc finger domain-containing protein 2) (RING finger protein 164) (RING-type E3 ubiquitin transferase Roquin-2)	NM_018835
Q86UP9	LHPL3_HUMAN	LHFPL tetraspan subfamily member 3 protein (Lipoma HMGIC fusion partner-like 3 protein)	NM_199000
P41229	KDM5C_HUMAN	Lysine-specific demethylase 5C (EC 1.14.11.-) (Histone demethylase JARID1C) (Jumonji/ARID domain-containing protein 1C) (Protein SmcX) (Protein Xe169)	NM_004187
Q8IY81	SPB1_HUMAN	pre-rRNA processing protein FTSJ3 (EC 2.1.1.-) (2'-O-ribose RNA methyltransferase SPB1 homolog) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	NM_017647
O94851	MICA2_HUMAN	[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (Molecule interacting with CasL protein 2) (MICAL-2)	NM_014632
O60306	AQR_HUMAN	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	NM_014691
Q6PD74	AAGAB_HUMAN	Alpha- and gamma-adaptin-binding protein p34	NM_024666
P46926	GNPI1_HUMAN	Glucosamine-6-phosphate isomerase 1 (EC 3.5.99.6) (Glucosamine-6-phosphate deaminase 1) (GNPDA 1) (GlcN6P deaminase 1) (Oscillin)	NM_005471
P42285	MTREX_HUMAN	Exosome RNA helicase MTR4 (EC 3.6.4.13) (ATP-dependent RNA helicase DOB1) (ATP-dependent RNA helicase SKIV2L2) (Superkiller viralicidic activity 2-like 2) (TRAMP-like complex helicase)	NM_015360
Q96HY6	DDRGK_HUMAN	DDRGK domain-containing protein 1 (Dashurin) (UFM1-binding and PCI domain-containing protein 1)	NM_023935
Q13867	BLMH_HUMAN	Bleomycin hydrolase (BH) (BLM hydrolase) (BMH) (EC 3.4.22.40)	NM_000386
Q6IAA8	LTOR1_HUMAN	Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18) (Protein associated with DRMs and endosomes) (p27Kip1-releasing factor from RhoA) (p27RF-Rho)	NM_017907
Q5T2T1	MPP7_HUMAN	MAGUK p55 subfamily member 7	NM_173496
Q5T5P2	SKT_HUMAN	Sickle tail protein homolog	NM_019590
Q96DM3	RMC1_HUMAN	Regulator of MON1-CCZ1 complex (Colon cancer-associated protein Mic1) (Mic-1) (WD repeat-containing protein 98)	NM_013326
O14976	GAK_HUMAN	Cyclin-G-associated kinase (EC 2.7.11.1)	NM_005255
Q9H0V9	LMA2L_HUMAN	VIP36-like protein (Lectin mannose-binding 2-like) (LMAN2-like protein)	NM_030805
Q13526	PIN1_HUMAN	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 (EC 5.2.1.8) (Peptidyl-prolyl cis-trans isomerase Pin1) (PPIase Pin1) (Rotamase Pin1)	NM_006221
Q9NYP3	DONS_HUMAN	Protein downstream neighbor of Son (B17)	NM_017613
Q9Y6U7	RN215_HUMAN	RING finger protein 215	NM_001017981
Q13232	NDK3_HUMAN	Nucleoside diphosphate kinase 3 (NDK 3) (NDP kinase 3) (EC 2.7.4.6) (DR-nm23) (Nucleoside diphosphate kinase C) (NDPKC) (nm23-H3)	NM_002513
Q14197	ICT1_HUMAN	Peptidyl-tRNA hydrolase ICT1, mitochondrial (EC 3.1.1.29) (39S ribosomal protein L58, mitochondrial) (MRP-L58) (Digestion substraction 1) (DS-1) (Immature colon carcinoma transcript 1 protein) (Mitochondrial large ribosomal subunit protein mL62)	NM_001545
O00170	AIP_HUMAN	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)	NM_003977
P51795	CLCN5_HUMAN	H(+)/Cl(-) exchange transporter 5 (Chloride channel protein 5) (ClC-5) (Chloride transporter ClC-5)	NM_000084
Q92484	ASM3A_HUMAN	Acid sphingomyelinase-like phosphodiesterase 3a (ASM-like phosphodiesterase 3a) (EC 3.1.4.-)	NM_006714
Q9H0J9	PAR12_HUMAN	Poly [ADP-ribose] polymerase 12 (PARP-12) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 12) (ARTD12) (Zinc finger CCCH domain-containing protein 1)	NM_022750
Q86TB9	PATL1_HUMAN	Protein PAT1 homolog 1 (PAT1-like protein 1) (Protein PAT1 homolog b) (Pat1b) (hPat1b)	NM_152716
Q96GQ7	DDX27_HUMAN	Probable ATP-dependent RNA helicase DDX27 (EC 3.6.4.13) (DEAD box protein 27)	NM_017895
P25205	MCM3_HUMAN	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102)	NM_002388
P09923	PPBI_HUMAN	Intestinal-type alkaline phosphatase (IAP) (Intestinal alkaline phosphatase) (EC 3.1.3.1)	NM_001631
Q96BP2	CHCH1_HUMAN	Coiled-coil-helix-coiled-coil-helix domain-containing protein 1 (28S ribosomal protein S37, mitochondrial) (MRP-S37) (Mitochondrial small ribosomal subunit protein mS37) (Nuclear protein C2360)	NM_203298
Q9NX62	IMPA3_HUMAN	Inositol monophosphatase 3 (IMP 3) (IMPase 3) (EC 3.1.3.25) (EC 3.1.3.7) (Golgi 3-prime phosphoadenosine 5-prime phosphate 3-prime phosphatase) (Golgi-resident PAP phosphatase) (gPAPP) (Inositol monophosphatase domain-containing protein 1) (Inositol-1(or 4)-monophosphatase 3) (Myo-inositol monophosphatase A3)	NM_017813
P62633	CNBP_HUMAN	Cellular nucleic acid-binding protein (CNBP) (Zinc finger protein 9)	NM_003418
Q9ULT8	HECD1_HUMAN	E3 ubiquitin-protein ligase HECTD1 (EC 2.3.2.26) (E3 ligase for inhibin receptor) (EULIR) (HECT domain-containing protein 1) (HECT-type E3 ubiquitin transferase HECTD1)	NM_015382
Q8N0Z9	VSI10_HUMAN	V-set and immunoglobulin domain-containing protein 10	NM_019086
Q14517	FAT1_HUMAN	Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]	NM_005245
Q9UBH6	XPR1_HUMAN	Xenotropic and polytropic retrovirus receptor 1 (Protein SYG1 homolog) (Xenotropic and polytropic murine leukemia virus receptor X3) (X-receptor)	NM_004736
O95716	RAB3D_HUMAN	Ras-related protein Rab-3D	NM_004283
Q9H4A3	WNK1_HUMAN	Serine/threonine-protein kinase WNK1 (EC 2.7.11.1) (Erythrocyte 65 kDa protein) (p65) (Kinase deficient protein) (Protein kinase lysine-deficient 1) (Protein kinase with no lysine 1) (hWNK1)	NM_018979
Q8N4V1	MMGT1_HUMAN	Membrane magnesium transporter 1 (ER membrane protein complex subunit 5) (Transmembrane protein 32)	NM_173470
Q96CN7	ISOC1_HUMAN	Isochorismatase domain-containing protein 1	NM_016048
O95271	TNKS1_HUMAN	Tankyrase-1 (TANK1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 5) (ARTD5) (Poly [ADP-ribose] polymerase 5A) (TNKS-1) (TRF1-interacting ankyrin-related ADP-ribose polymerase) (Tankyrase I)	NM_003747
Q13541	4EBP1_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	NM_004095
Q9Y5L4	TIM13_HUMAN	Mitochondrial import inner membrane translocase subunit Tim13	NM_012458
Q9NPJ3	ACO13_HUMAN	Acyl-coenzyme A thioesterase 13 (Acyl-CoA thioesterase 13) (EC 3.1.2.-) (Thioesterase superfamily member 2) [Cleaved into: Acyl-coenzyme A thioesterase 13, N-terminally processed]	NM_018473
Q9NP79	VTA1_HUMAN	Vacuolar protein sorting-associated protein VTA1 homolog (Dopamine-responsive gene 1 protein) (DRG-1) (LYST-interacting protein 5) (LIP5) (SKD1-binding protein 1) (SBP1)	NM_016485
Q7Z695	ADCK2_HUMAN	Uncharacterized aarF domain-containing protein kinase 2 (EC 2.7.11.-)	NM_052853
Q5T8I9	HENMT_HUMAN	Small RNA 2'-O-methyltransferase (EC 2.1.1.n8) (HEN1 methyltransferase homolog 1)	NM_144584
O95140	MFN2_HUMAN	Mitofusin-2 (EC 3.6.5.-) (Transmembrane GTPase MFN2)	NM_014874
Q9Y519	T184B_HUMAN	Transmembrane protein 184B (Putative MAPK-activating protein FM08)	NM_012264
P82664	RT10_HUMAN	28S ribosomal protein S10, mitochondrial (MRP-S10) (S10mt) (Mitochondrial small ribosomal subunit protein uS10m)	NM_018141
O43660	PLRG1_HUMAN	Pleiotropic regulator 1	NM_002669
Q9NUI1	DECR2_HUMAN	Peroxisomal 2,4-dienoyl-CoA reductase (pDCR) (EC 1.3.1.34) (2,4-dienoyl-CoA reductase 2) (Short chain dehydrogenase/reductase family 17C member 1)	NM_020664
Q9BW27	NUP85_HUMAN	Nuclear pore complex protein Nup85 (85 kDa nucleoporin) (FROUNT) (Nucleoporin Nup75) (Nucleoporin Nup85) (Pericentrin-1)	NM_024844
Q9H6H4	REEP4_HUMAN	Receptor expression-enhancing protein 4	NM_025232
Q9NQ48	LZTL1_HUMAN	Leucine zipper transcription factor-like protein 1	NM_020347
Q14442	PIGH_HUMAN	Phosphatidylinositol N-acetylglucosaminyltransferase subunit H (EC 2.4.1.198) (Phosphatidylinositol-glycan biosynthesis class H protein) (PIG-H)	NM_004569
Q9BRQ3	NUD22_HUMAN	Nucleoside diphosphate-linked moiety X motif 22 (Nudix motif 22)	NM_032344
O75197	LRP5_HUMAN	Low-density lipoprotein receptor-related protein 5 (LRP-5)	NM_002335
O75503	CLN5_HUMAN	Ceroid-lipofuscinosis neuronal protein 5 (Protein CLN5) [Cleaved into: Ceroid-lipofuscinosis neuronal protein 5, secreted form]	NM_006493
P54727	RD23B_HUMAN	UV excision repair protein RAD23 homolog B (HR23B) (hHR23B) (XP-C repair-complementing complex 58 kDa protein) (p58)	NM_002874
P45973	CBX5_HUMAN	Chromobox protein homolog 5 (Antigen p25) (Heterochromatin protein 1 homolog alpha) (HP1 alpha)	NM_012117
O75154	RFIP3_HUMAN	Rab11 family-interacting protein 3 (FIP3-Rab11) (Rab11-FIP3) (Arfophilin-1) (EF hands-containing Rab-interacting protein) (Eferin) (MU-MB-17.148)	NM_014700
P33897	ABCD1_HUMAN	ATP-binding cassette sub-family D member 1 (Adrenoleukodystrophy protein) (ALDP)	NM_000033
Q969G3	SMCE1_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E member 1 (BRG1-associated factor 57) (BAF57)	NM_003079
Q9H9A5	CNO10_HUMAN	CCR4-NOT transcription complex subunit 10	NM_015442
Q969Q6	P2R3C_HUMAN	Serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit gamma (Protein phosphatase subunit G5PR) (Rhabdomyosarcoma antigen MU-RMS-40.6A/6C)	NM_017917
P35251	RFC1_HUMAN	Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit)	NM_002913
Q9HAD4	WDR41_HUMAN	WD repeat-containing protein 41	NM_018268
Q86SE9	PCGF5_HUMAN	Polycomb group RING finger protein 5 (RING finger protein 159)	NM_032373
O00399	DCTN6_HUMAN	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	NM_006571
Q96BJ3	AIDA_HUMAN	Axin interactor, dorsalization-associated protein (Axin interaction partner and dorsalization antagonist)	NM_022831
Q9Y520	PRC2C_HUMAN	Protein PRRC2C (BAT2 domain-containing protein 1) (HBV X-transactivated gene 2 protein) (HBV XAg-transactivated protein 2) (HLA-B-associated transcript 2-like 2) (Proline-rich and coiled-coil-containing protein 2C)	NM_015172
P02654	APOC1_HUMAN	Apolipoprotein C-I (Apo-CI) (ApoC-I) (Apolipoprotein C1) [Cleaved into: Truncated apolipoprotein C-I]	NM_001645
P12109	CO6A1_HUMAN	Collagen alpha-1(VI) chain	NM_001848
Q9Y6G9	DC1L1_HUMAN	Cytoplasmic dynein 1 light intermediate chain 1 (LIC1) (Dynein light chain A) (DLC-A) (Dynein light intermediate chain 1, cytosolic)	NM_016141
P23588	IF4B_HUMAN	Eukaryotic translation initiation factor 4B (eIF-4B)	NM_001417
Q9NYT0	PLEK2_HUMAN	Pleckstrin-2	NM_016445
Q06787	FMR1_HUMAN	Synaptic functional regulator FMR1 (Fragile X mental retardation protein 1) (FMRP) (Protein FMR-1)	NM_002024
Q14457	BECN1_HUMAN	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) (Protein GT197) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	NM_003766
O75674	TM1L1_HUMAN	TOM1-like protein 1 (Src-activating and signaling molecule protein) (Target of Myb-like protein 1)	NM_005486
Q9BRG1	VPS25_HUMAN	Vacuolar protein-sorting-associated protein 25 (hVps25) (Dermal papilla-derived protein 9) (ELL-associated protein of 20 kDa) (ESCRT-II complex subunit VPS25)	NM_032353
Q9P2K8	E2AK4_HUMAN	eIF-2-alpha kinase GCN2 (EC 2.7.11.1) (Eukaryotic translation initiation factor 2-alpha kinase 4) (GCN2-like protein)	NM_001013703
Q14156	EFR3A_HUMAN	Protein EFR3 homolog A (Protein EFR3-like)	NM_015137
Q96C01	F136A_HUMAN	Protein FAM136A	NM_032822
P32456	GBP2_HUMAN	Guanylate-binding protein 2 (EC 3.6.5.-) (GTP-binding protein 2) (GBP-2) (HuGBP-2) (Guanine nucleotide-binding protein 2) (Interferon-induced guanylate-binding protein 2)	NM_004120
Q9Y2W2	WBP11_HUMAN	WW domain-binding protein 11 (WBP-11) (Npw38-binding protein) (NpwBP) (SH3 domain-binding protein SNP70) (Splicing factor that interacts with PQBP-1 and PP1)	NM_016312
Q9P2B2	FPRP_HUMAN	Prostaglandin F2 receptor negative regulator (CD9 partner 1) (CD9P-1) (Glu-Trp-Ile EWI motif-containing protein F) (EWI-F) (Prostaglandin F2-alpha receptor regulatory protein) (Prostaglandin F2-alpha receptor-associated protein) (CD antigen CD315)	NM_020440
P58340	MLF1_HUMAN	Myeloid leukemia factor 1 (Myelodysplasia-myeloid leukemia factor 1)	NM_022443
O75074	LRP3_HUMAN	Low-density lipoprotein receptor-related protein 3 (LRP-3) (105 kDa low-density lipoprotein receptor-related protein) (hLRp105)	NM_002333
Q6ZSS7	MFSD6_HUMAN	Major facilitator superfamily domain-containing protein 6 (Macrophage MHC class I receptor 2 homolog)	NM_017694
Q9NV35	NUD15_HUMAN	Nucleotide triphosphate diphosphatase NUDT15 (EC 3.6.1.9) (MutT homolog 2) (MTH2) (Nucleoside diphosphate-linked moiety X motif 15) (Nudix motif 15) (Nucleoside diphosphate-linked to another moiety X hydrolase 15) (Nudix hydrolase 15)	NM_018283
O95562	SFT2B_HUMAN	Vesicle transport protein SFT2B (SFT2 domain-containing protein 2)	NM_199344
P47985	UCRI_HUMAN	Cytochrome b-c1 complex subunit Rieske, mitochondrial (EC 1.10.2.2) (Complex III subunit 5) (Cytochrome b-c1 complex subunit 5) (Rieske iron-sulfur protein) (RISP) (Rieske protein UQCRFS1) (Ubiquinol-cytochrome c reductase iron-sulfur subunit) [Cleaved into: Cytochrome b-c1 complex subunit 9 (Su9) (Subunit 9) (8 kDa subunit 9) (Complex III subunit IX) (Cytochrome b-c1 complex subunit 11) (Ubiquinol-cytochrome c reductase 8 kDa protein)]	NM_006003
Q8WUM0	NU133_HUMAN	Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)	NM_018230
Q9NR46	SHLB2_HUMAN	Endophilin-B2 (SH3 domain-containing GRB2-like protein B2)	NM_020145
P08729	K2C7_HUMAN	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)	NM_005556
O43583	DENR_HUMAN	Density-regulated protein (DRP) (Protein DRP1) (Smooth muscle cell-associated protein 3) (SMAP-3)	NM_003677
O60506	HNRPQ_HUMAN	Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein)	NM_006372
Q9H9P8	L2HDH_HUMAN	L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2) (Duranin)	NM_024884
Q12849	GRSF1_HUMAN	G-rich sequence factor 1 (GRSF-1)	NM_002092
Q16134	ETFD_HUMAN	Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial (ETF-QO) (ETF-ubiquinone oxidoreductase) (EC 1.5.5.1) (Electron-transferring-flavoprotein dehydrogenase) (ETF dehydrogenase)	NM_004453
P21281	VATB2_HUMAN	V-type proton ATPase subunit B, brain isoform (V-ATPase subunit B 2) (Endomembrane proton pump 58 kDa subunit) (HO57) (Vacuolar proton pump subunit B 2)	NM_001693
Q8WV83	S35F5_HUMAN	Solute carrier family 35 member F5 (Hepatitis C virus NS5A-transactivated protein 3) (HCV NS5A-transactivated protein 3)	NM_025181
Q96AE4	FUBP1_HUMAN	Far upstream element-binding protein 1 (FBP) (FUSE-binding protein 1) (DNA helicase V) (hDH V)	NM_003902
Q8IZ07	AN13A_HUMAN	Ankyrin repeat domain-containing protein 13A (Protein KE03)	NM_033121
O15488	GLYG2_HUMAN	Glycogenin-2 (GN-2) (GN2) (EC 2.4.1.186)	NM_003918
Q15691	MARE1_HUMAN	Microtubule-associated protein RP/EB family member 1 (APC-binding protein EB1) (End-binding protein 1) (EB1)	NM_012325
Q6ZMY3	SPOC1_HUMAN	SPOC domain-containing protein 1	NM_144569
Q8N370	LAT4_HUMAN	Large neutral amino acids transporter small subunit 4 (L-type amino acid transporter 4) (Solute carrier family 43 member 2)	NM_152346
Q9Y296	TPPC4_HUMAN	Trafficking protein particle complex subunit 4 (Hematopoietic stem/progenitor cell protein 172) (Synbindin) (TRS23 homolog)	NM_016146
Q96A73	P33MX_HUMAN	Putative monooxygenase p33MONOX (EC 1.-.-.-) (Brain-derived rescue factor p60MONOX) (Flavin monooxygenase motif-containing protein of 33 kDa)	NM_020444
P62495	ERF1_HUMAN	Eukaryotic peptide chain release factor subunit 1 (Eukaryotic release factor 1) (eRF1) (Protein Cl1) (TB3-1)	NM_004730
A8MPS7	YDJC_HUMAN	Carbohydrate deacetylase (EC 3.5.1.-)	NM_001017964
Q5VW38	GP107_HUMAN	Protein GPR107 (Lung seven transmembrane receptor 1)	NM_020960
O95372	LYPA2_HUMAN	Acyl-protein thioesterase 2 (APT-2) (EC 3.1.2.-) (Lysophospholipase II) (LPL-II) (LysoPLA II)	NM_007260
P08754	GNAI3_HUMAN	Guanine nucleotide-binding protein G(k) subunit alpha (G(i) alpha-3)	NM_006496
Q8N8Q8	COX18_HUMAN	Cytochrome c oxidase assembly protein COX18, mitochondrial (COX18Hs) (Cytochrome c oxidase assembly protein 18)	NM_173827
Q15390	MTFR1_HUMAN	Mitochondrial fission regulator 1 (Chondrocyte protein with a poly-proline region)	NM_014637
Q13395	TARB1_HUMAN	Probable methyltransferase TARBP1 (EC 2.1.1.-) (TAR RNA-binding protein 1) (TAR RNA-binding protein of 185 kDa) (TRP-185)	NM_005646
O14957	QCR10_HUMAN	Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein)	NM_006830
Q96G91	P2Y11_HUMAN	P2Y purinoceptor 11 (P2Y11)	NM_002566
Q86YP4	P66A_HUMAN	Transcriptional repressor p66-alpha (Hp66alpha) (GATA zinc finger domain-containing protein 2A)	NM_017660
Q86U42	PABP2_HUMAN	Polyadenylate-binding protein 2 (PABP-2) (Poly(A)-binding protein 2) (Nuclear poly(A)-binding protein 1) (Poly(A)-binding protein II) (PABII) (Polyadenylate-binding nuclear protein 1)	NM_004643
Q8IZL8	PELP1_HUMAN	Proline-, glutamic acid- and leucine-rich protein 1 (Modulator of non-genomic activity of estrogen receptor) (Transcription factor HMX3)	NM_014389
Q9BZM1	PG12A_HUMAN	Group XIIA secretory phospholipase A2 (GXII sPLA2) (sPLA2-XII) (EC 3.1.1.4) (Phosphatidylcholine 2-acylhydrolase 12A)	NM_030821
P36873	PP1G_HUMAN	Serine/threonine-protein phosphatase PP1-gamma catalytic subunit (PP-1G) (EC 3.1.3.16) (Protein phosphatase 1C catalytic subunit)	NM_002710
Q02750	MP2K1_HUMAN	Dual specificity mitogen-activated protein kinase kinase 1 (MAP kinase kinase 1) (MAPKK 1) (MKK1) (EC 2.7.12.2) (ERK activator kinase 1) (MAPK/ERK kinase 1) (MEK 1)	NM_002755
Q9UPN7	PP6R1_HUMAN	Serine/threonine-protein phosphatase 6 regulatory subunit 1 (SAPS domain family member 1)	NM_014931
P49765	VEGFB_HUMAN	Vascular endothelial growth factor B (VEGF-B) (VEGF-related factor) (VRF)	NM_003377
P09958	FURIN_HUMAN	Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE)	NM_002569
Q969U7	PSMG2_HUMAN	Proteasome assembly chaperone 2 (PAC-2) (Hepatocellular carcinoma-susceptibility protein 3) (Tumor necrosis factor superfamily member 5-induced protein 1)	NM_020232
Q96PD2	DCBD2_HUMAN	Discoidin, CUB and LCCL domain-containing protein 2 (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) (Endothelial and smooth muscle cell-derived neuropilin-like protein)	NM_080927
Q9ULV4	COR1C_HUMAN	Coronin-1C (Coronin-3) (hCRNN4)	NM_014325
O95373	IPO7_HUMAN	Importin-7 (Imp7) (Ran-binding protein 7) (RanBP7)	NM_006391
Q9NR83	S2A4R_HUMAN	SLC2A4 regulator (GLUT4 enhancer factor) (GEF) (Huntington disease gene regulatory region-binding protein 1) (HDBP-1)	NM_020062
Q9NRK6	ABCBA_HUMAN	ATP-binding cassette sub-family B member 10, mitochondrial (ATP-binding cassette transporter 10) (ABC transporter 10 protein) (Mitochondrial ATP-binding cassette 2) (M-ABC2)	NM_012089
O00743	PPP6_HUMAN	Serine/threonine-protein phosphatase 6 catalytic subunit (PP6C) (EC 3.1.3.16) [Cleaved into: Serine/threonine-protein phosphatase 6 catalytic subunit, N-terminally processed]	NM_002721
Q8N5F7	NKAP_HUMAN	NF-kappa-B-activating protein	NM_024528
P43355	MAGA1_HUMAN	Melanoma-associated antigen 1 (Antigen MZ2-E) (Cancer/testis antigen 1.1) (CT1.1) (MAGE-1 antigen)	NM_004988
P49327	FAS_HUMAN	Fatty acid synthase (EC 2.3.1.85) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Oleoyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	NM_004104
O00408	PDE2A_HUMAN	cGMP-dependent 3',5'-cyclic phosphodiesterase (EC 3.1.4.17) (Cyclic GMP-stimulated phosphodiesterase) (CGS-PDE) (cGSPDE)	NM_002599
O00330	ODPX_HUMAN	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	NM_003477
